Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1673499258,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1673499259,50,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,50,0,280.0,249.05307948010886,196.4822890004143,293.61316399990756,10205.0
1673499259,50,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,50,0,280.0,249.05307948010886,196.4822890004143,293.61316399990756,10205.0
1673499260,100,GET,/,0.000000,0.000000,190,190,190,200,200,200,210,210,210,210,210,150,0,190.0,193.3720879000854,89.74030300123559,293.61316399990756,10205.0
1673499260,100,,Aggregated,0.000000,0.000000,190,190,190,200,200,200,210,210,210,210,210,150,0,190.0,193.3720879000854,89.74030300123559,293.61316399990756,10205.0
1673499261,150,GET,/,0.000000,0.000000,190,200,210,290,320,380,390,390,390,390,390,300,0,200.0,207.7089947800414,89.74030300123559,389.467725999566,10205.0
1673499261,150,,Aggregated,0.000000,0.000000,190,200,210,290,320,380,390,390,390,390,390,300,0,200.0,207.7089947800414,89.74030300123559,389.467725999566,10205.0
1673499262,200,GET,/,50.000000,0.000000,200,210,270,290,320,360,390,390,390,390,390,500,0,200.0,206.8794188240463,18.303445000128704,389.467725999566,10205.0
1673499262,200,,Aggregated,50.000000,0.000000,200,210,270,290,320,360,390,390,390,390,390,500,0,200.0,206.8794188240463,18.303445000128704,389.467725999566,10205.0
1673499263,250,GET,/,100.000000,0.000000,190,200,210,280,300,350,380,390,390,390,390,711,0,190.0,193.32654163152856,5.31952700112015,389.467725999566,10205.0
1673499263,250,,Aggregated,100.000000,0.000000,190,200,210,280,300,350,380,390,390,390,390,711,0,190.0,193.32654163152856,5.31952700112015,389.467725999566,10205.0
1673499264,300,GET,/,125.000000,0.000000,200,230,290,360,500,520,610,620,680,680,680,892,0,200.0,243.58157071189694,5.31952700112015,682.9044939986488,10205.0
1673499264,300,,Aggregated,125.000000,0.000000,200,230,290,360,500,520,610,620,680,680,680,892,0,200.0,243.58157071189694,5.31952700112015,682.9044939986488,10205.0
1673499265,350,GET,/,140.000000,0.000000,210,400,500,600,670,690,700,720,780,780,780,1119,0,210.0,323.488428856146,5.31952700112015,780.0697029997536,10205.0
1673499265,350,,Aggregated,140.000000,0.000000,210,400,500,600,670,690,700,720,780,780,780,1119,0,210.0,323.488428856146,5.31952700112015,780.0697029997536,10205.0
1673499266,400,GET,/,148.000000,0.000000,300,500,520,580,630,680,700,710,780,780,780,1355,0,290.0,358.59181001920655,5.31952700112015,780.0697029997536,10204.970479704796
1673499266,400,,Aggregated,148.000000,0.000000,300,500,520,580,630,680,700,710,780,780,780,1355,0,290.0,358.59181001920655,5.31952700112015,780.0697029997536,10204.970479704796
1673499267,450,GET,/,159.714286,0.000000,450,520,600,620,700,790,890,900,910,960,960,1521,0,410.0,402.1460145364999,5.31952700112015,961.9298139987222,10204.973701512163
